70294003::other::What is blue?::70294::bus::_predadj(A, B)::_predadj(_$qVar, blue)
205531014::yes/no::Are the windows open?::205531::yes::_predadj(A, B)::_predadj(windows, open)
437373001::yes/no::Are the umbrellas open?::437373::yes::_predadj(A, B)::_predadj(umbrella, open)
75090001::yes/no::Is the bear black?::75090::yes::_predadj(A, B)::_predadj(bear, black)
89271002::yes/no::Is the cat black?::89271::no::_predadj(A, B)::_predadj(cat, black)
348708004::yes/no::Is the bowl blue?::348708::no::_predadj(A, B)::_predadj(bowl, blue)
433136007::yes/no::Is the picture clear?::433136::yes::_predadj(A, B)::_predadj(picture, clear)
39963004::yes/no::Are the walls yellow?::39963::no::_predadj(A, B)::_predadj(wall, yellow)
325153002::other::What is green?::325153::luggage::_predadj(A, B)::_predadj(_$qVar, green)
108129025::yes/no::Are the trees green?::108129::yes::_predadj(A, B)::_predadj(tree, green)
46736001::yes/no::Is the water clear?::46736::no::_predadj(A, B)::_predadj(water, clear)
153103000::yes/no::Is the table wooden?::153103::yes::_predadj(A, B)::_predadj(table, wooden)
86650011::other::What is pink?::86650::scarf::_predadj(A, B)::_predadj(_$qVar, pink)
86650014::yes/no::Is the floor wooden?::86650::no::_predadj(A, B)::_predadj(floor, wooden)
463588027::yes/no::Is  the grass green?::463588::yes::_predadj(A, B)::_predadj(grass, green)
144874005::yes/no::Is the water clear?::144874::no::_predadj(A, B)::_predadj(water, clear)
306879000::yes/no::Is the kite pink?::306879::no::_predadj(A, B)::_predadj(kite, pink)
447448003::yes/no::Are the windows open?::447448::no::_predadj(A, B)::_predadj(windows, open)
66135007::yes/no::Is the train red?::66135::no::_predadj(A, B)::_predadj(train, red)
366648009::other::What is green?::366648::peas::_predadj(A, B)::_predadj(_$qVar, green)
200945002::other::What is green?::200945::relish::_predadj(A, B)::_predadj(_$qVar, green)
469857011::yes/no::Are the windows open?::469857::no::_predadj(A, B)::_predadj(windows, open)
40937002::other::What is pink?::40937::sticker::_predadj(A, B)::_predadj(_$qVar, pink)
179926001::yes/no::Is the light green?::179926::no::_predadj(A, B)::_predadj(light, green)
405970005::yes/no::Are the walls green?::405970::yes::_predadj(A, B)::_predadj(wall, green)
396568000::yes/no::Is the train old?::396568::yes::_predadj(A, B)::_predadj(train, old)
45844002::yes/no::Is the street red?::45844::yes::_predadj(A, B)::_predadj(street, red)
104345016::other::Why is the sky black?::104345::no::_predadj(A, B)::_predadj(sky, black)
228085000::yes/no::Are the windows big?::228085::yes::_predadj(A, B)::_predadj(windows, big)
523315005::yes/no::Is the picture bright?::523315::no::_predadj(A, B)::_predadj(picture, bright)
243852003::yes/no::Is the shirt striped?::243852::yes::_predadj(A, B)::_predadj(shirt, striped)
445675003::yes/no::Is the grass green?::445675::no::_predadj(A, B)::_predadj(grass, green)
32549001::yes/no::Are the buildings tall?::32549::yes::_predadj(A, B)::_predadj(building, tall)
99984002::other::Why are some leaves yellow?::99984::season::_predadj(A, B)::_predadj(leaf, yellow)
92488000::yes/no::Is the light green?::92488::yes::_predadj(A, B)::_predadj(light, green)
27463002::yes/no::Is the cat black?::27463::no::_predadj(A, B)::_predadj(cat, black)
295194000::yes/no::Is the fence green?::295194::yes::_predadj(A, B)::_predadj(fence, green)
394801002::other::What is brown?::394801::bananas::_predadj(A, B)::_predadj(_$qVar, brown)
308849007::other::What is orange?::308849::plate::_predadj(A, B)::_predadj(_$qVar, orange)
477655002::yes/no::Are the shirts striped?::477655::yes::_predadj(A, B)::_predadj(shirt, striped)
279677004::yes/no::Is the picture clear?::279677::yes::_predadj(A, B)::_predadj(picture, clear)
306303003::yes/no::Are the clouds black?::306303::yes::_predadj(A, B)::_predadj(cloud, black)
419050001::yes/no::Are the waves big?::419050::no::_predadj(A, B)::_predadj(wave, big)
543193003::yes/no::Is the woman big?::543193::yes::_predadj(A, B)::_predadj(woman, big)
33061004::yes/no::Are the clouds black?::33061::no::_predadj(A, B)::_predadj(cloud, black)
181576007::other::What is green?::181576::parsley::_predadj(A, B)::_predadj(_$qVar, green)
534270004::yes/no::Is the dog large?::534270::no::_predadj(A, B)::_predadj(dog, large)
45644001::other::What are green?::45644::broccoli::_predadj(A, B)::_predadj(_$qVar, green)
249184000::yes/no::Is the sky clear?::249184::no::_predadj(A, B)::_predadj(sky, clear)
38332002::yes/no::Is the elephant old?::38332::yes::_predadj(A, B)::_predadj(elephant, old)
367007001::yes/no::Is the bowl clear?::367007::no::_predadj(A, B)::_predadj(bowl, clear)
166868000::yes/no::Is the sky clear?::166868::no::_predadj(A, B)::_predadj(sky, clear)
18058002::yes/no::Are the trees green?::18058::yes::_predadj(A, B)::_predadj(tree, green)
415413003::yes/no::Is the sky dark?::415413::yes::_predadj(A, B)::_predadj(sky, dark)
567863003::yes/no::Is the giraffe tall?::567863::yes::_predadj(A, B)::_predadj(giraffe, tall)
383838014::yes/no::Is the woman old?::383838::no::_predadj(A, B)::_predadj(woman, old)
109653002::yes/no::Is the sky clear?::109653::no::_predadj(A, B)::_predadj(sky, clear)
129576004::yes/no::Is the floor wooden?::129576::yes::_predadj(A, B)::_predadj(floor, wooden)
430036001::yes/no::Are the pants yellow?::430036::yes::_predadj(A, B)::_predadj(pants, yellow)
538465017::yes/no::Is the grass green?::538465::yes::_predadj(A, B)::_predadj(grass, green)
529020000::yes/no::Is the grass green?::529020::yes::_predadj(A, B)::_predadj(grass, green)
301563002::yes/no::Are the skies clear?::301563::yes::_predadj(A, B)::_predadj(sky, clear)
79837010::yes/no::Is the water clear?::79837::no::_predadj(A, B)::_predadj(water, clear)
79837044::yes/no::Is the sky clear?::79837::yes::_predadj(A, B)::_predadj(sky, clear)
181524003::yes/no::Is the light red?::181524::yes::_predadj(A, B)::_predadj(light, red)
99647001::yes/no::Is the bowl clear?::99647::yes::_predadj(A, B)::_predadj(bowl, clear)
72376001::other::Where is the street light?::72376::in background on left side::_predadj(A, B)::_predadj(street, light)
441292012::yes/no::Is the road clear?::441292::no::_predadj(A, B)::_predadj(road, clear)
109942001::yes/no::Is the sky clear?::109942::yes::_predadj(A, B)::_predadj(sky, clear)
162703007::yes/no::Is the wave big?::162703::yes::_predadj(A, B)::_predadj(wave, big)
489745001::other::What is green?::489745::lettuce::_predadj(A, B)::_predadj(_$qVar, green)
40468002::yes/no::Is the water clear?::40468::yes::_predadj(A, B)::_predadj(water, clear)
547903002::yes/no::Is the sky clear?::547903::yes::_predadj(A, B)::_predadj(sky, clear)
380711004::yes/no::Are the waves big?::380711::no::_predadj(A, B)::_predadj(wave, big)
87677008::yes/no::Is the sky clear?::87677::no::_predadj(A, B)::_predadj(sky, clear)
140007001::yes/no::Is the woman old?::140007::yes::_predadj(A, B)::_predadj(woman, old)
399741000::yes/no::Is the picture clear?::399741::no::_predadj(A, B)::_predadj(picture, clear)
486093001::yes/no::Is the sky clear?::486093::yes::_predadj(A, B)::_predadj(sky, clear)
486093004::yes/no::Is the wave big?::486093::no::_predadj(A, B)::_predadj(wave, big)
321935002::yes/no::Is the sky dark?::321935::yes::_predadj(A, B)::_predadj(sky, dark)
234914020::yes/no::Is the table blue?::234914::yes::_predadj(A, B)::_predadj(table, blue)
130386003::yes/no::Is the sky clear?::130386::no::_predadj(A, B)::_predadj(sky, clear)
6306006::yes/no::Is the sky clear?::6306::no::_predadj(A, B)::_predadj(sky, clear)
105683006::other::What is blue?::105683::wall::_predadj(A, B)::_predadj(_$qVar, blue)
268496000::yes/no::Is the sky clear?::268496::no::_predadj(A, B)::_predadj(sky, clear)
332545002::yes/no::Is the sky clear?::332545::no::_predadj(A, B)::_predadj(sky, clear)
223468006::yes/no::Is the grass green?::223468::no::_predadj(A, B)::_predadj(grass, green)
312509000::yes/no::Is the water blue?::312509::yes::_predadj(A, B)::_predadj(water, blue)
516750001::other::What is yellow?::516750::kayak::_predadj(A, B)::_predadj(_$qVar, yellow)
168330011::yes/no::Are the buildings tall?::168330::no::_predadj(A, B)::_predadj(building, tall)
427341028::other::What is purple?::427341::nothing::_predadj(A, B)::_predadj(_$qVar, purple)
40517006::yes/no::Is the water green?::40517::no::_predadj(A, B)::_predadj(water, green)
89668001::yes/no::Is  the grass green?::89668::no::_predadj(A, B)::_predadj(grass, green)
393277007::yes/no::Is the building large?::393277::yes::_predadj(A, B)::_predadj(building, large)
184172003::yes/no::Is the wave big?::184172::no::_predadj(A, B)::_predadj(wave, big)
93894002::yes/no::Are the tables wooden?::93894::yes::_predadj(A, B)::_predadj(table, wooden)
256552002::yes/no::Is the sky clear?::256552::no::_predadj(A, B)::_predadj(sky, clear)
159399003::yes/no::Are the trees green?::159399::yes::_predadj(A, B)::_predadj(tree, green)
545959002::yes/no::Is the grass green?::545959::yes::_predadj(A, B)::_predadj(grass, green)
465715003::yes/no::Is the water clear?::465715::yes::_predadj(A, B)::_predadj(water, clear)
547504002::yes/no::Are the tables wooden?::547504::no::_predadj(A, B)::_predadj(table, wooden)
97693002::yes/no::Is the window big?::97693::yes::_predadj(A, B)::_predadj(window, big)
515422006::yes/no::Is the sky dark?::515422::yes::_predadj(A, B)::_predadj(sky, dark)
414249007::yes/no::Is the bench old?::414249::no::_predadj(A, B)::_predadj(bench, old)
42055001::yes/no::Are the umbrellas open?::42055::yes::_predadj(A, B)::_predadj(umbrella, open)
192871001::yes/no::Is the bowl clear?::192871::yes::_predadj(A, B)::_predadj(bowl, clear)
217614001::yes/no::Is the picture dark?::217614::no::_predadj(A, B)::_predadj(picture, dark)
284106008::other::What is red?::284106::placemat::_predadj(A, B)::_predadj(_$qVar, red)
125072008::yes/no::Is the sky dark?::125072::no::_predadj(A, B)::_predadj(sky, dark)
160580001::other::Why is the picture dark?::160580::black and white::_predadj(A, B)::_predadj(picture, dark)
300479001::yes/no::Is the train green?::300479::no::_predadj(A, B)::_predadj(train, green)
118065002::other::What is orange?::118065::oranges::_predadj(A, B)::_predadj(_$qVar, orange)
191017001::yes/no::Is the grass tall?::191017::no::_predadj(A, B)::_predadj(grass, tall)
305695002::other::What is green?::305695::grass::_predadj(A, B)::_predadj(_$qVar, green)
267411002::yes/no::Are the men young?::267411::no::_predadj(A, B)::_predadj(man, young)
361282000::yes/no::Is the clock old?::361282::yes::_predadj(A, B)::_predadj(clock, old)
151962002::yes/no::Are the windows open?::151962::yes::_predadj(A, B)::_predadj(windows, open)
186747001::yes/no::Is the sky clear?::186747::yes::_predadj(A, B)::_predadj(sky, clear)
270244002::yes/no::Is the grass green?::270244::yes::_predadj(A, B)::_predadj(grass, green)
33753000::yes/no::Is the bench old?::33753::yes::_predadj(A, B)::_predadj(bench, old)
297972006::other::What is green?::297972::socks::_predadj(A, B)::_predadj(_$qVar, green)
48383000::yes/no::Is the fence blue?::48383::no::_predadj(A, B)::_predadj(fence, blue)
213421002::other::What is purple?::213421::umbrella::_predadj(A, B)::_predadj(_$qVar, purple)
294698003::yes/no::Is the picture clear?::294698::no::_predadj(A, B)::_predadj(picture, clear)
558633002::yes/no::Are the windows open?::558633::yes::_predadj(A, B)::_predadj(windows, open)
570998001::yes/no::Is the road clear?::570998::yes::_predadj(A, B)::_predadj(road, clear)
579911004::yes/no::Is the dog black?::579911::yes::_predadj(A, B)::_predadj(dog, black)
316323002::other::What is silver?::316323::fridge::_predadj(A, B)::_predadj(_$qVar, silver)
48840006::yes/no::Is the picture dark?::48840::yes::_predadj(A, B)::_predadj(picture, dark)
141211001::other::What is brown?::141211::bear::_predadj(A, B)::_predadj(_$qVar, brown)
356028001::yes/no::Are the windows open?::356028::no::_predadj(A, B)::_predadj(windows, open)
19523005::yes/no::Are the men young?::19523::yes::_predadj(A, B)::_predadj(man, young)
435208013::yes/no::Is the wall yellow?::435208::yes::_predadj(A, B)::_predadj(wall, yellow)
246452001::yes/no::Is the water clear?::246452::no::_predadj(A, B)::_predadj(water, clear)
328286002::yes/no::Is the water clear?::328286::no::_predadj(A, B)::_predadj(water, clear)
502818001::yes/no::Is the man young?::502818::no::_predadj(A, B)::_predadj(man, young)
378116004::yes/no::Is the water clear?::378116::no::_predadj(A, B)::_predadj(water, clear)
64088000::yes/no::Is the woman young?::64088::no::_predadj(A, B)::_predadj(woman, young)
243896007::yes/no::Is the sky clear?::243896::no::_predadj(A, B)::_predadj(sky, clear)
245145006::other::What is red?::245145::trees::_predadj(A, B)::_predadj(_$qVar, red)
162130022::yes/no::Is the bench old?::162130::yes::_predadj(A, B)::_predadj(bench, old)
134503002::yes/no::Is the water clear?::134503::yes::_predadj(A, B)::_predadj(water, clear)
2822001::yes/no::Is the grass tall?::2822::yes::_predadj(A, B)::_predadj(grass, tall)
265372001::yes/no::Is the water clear?::265372::no::_predadj(A, B)::_predadj(water, clear)
183127002::yes/no::Is the water blue?::183127::yes::_predadj(A, B)::_predadj(water, blue)
326308016::yes/no::Is the table black?::326308::yes::_predadj(A, B)::_predadj(table, black)
22158008::yes/no::Are the windows open?::22158::no::_predadj(A, B)::_predadj(windows, open)
307936001::yes/no::Is the grass green?::307936::no::_predadj(A, B)::_predadj(grass, green)
394940004::yes/no::Is the boy small?::394940::yes::_predadj(A, B)::_predadj(boy, small)
80337001::yes/no::Is the man young?::80337::no::_predadj(A, B)::_predadj(man, young)
174671010::yes/no::Is the sky clear?::174671::no::_predadj(A, B)::_predadj(sky, clear)
421307004::yes/no::Is the sky blue?::421307::yes::_predadj(A, B)::_predadj(sky, blue)
325666006::yes/no::Is the road clear?::325666::no::_predadj(A, B)::_predadj(road, clear)
37875010::yes/no::Is the umbrella pink?::37875::no::_predadj(A, B)::_predadj(umbrella, pink)
87595002::yes/no::Is the cat red?::87595::no::_predadj(A, B)::_predadj(cat, red)
208971000::yes/no::Is the plant tall?::208971::yes::_predadj(A, B)::_predadj(plant, tall)
192616003::yes/no::Is the floor concrete?::192616::no::_predadj(A, B)::_predadj(floor, concrete)
19962001::yes/no::Is the sky clear?::19962::no::_predadj(A, B)::_predadj(sky, clear)
38357010::yes/no::Is the road clear?::38357::no::_predadj(A, B)::_predadj(road, clear)
440486002::yes/no::Is the building tall?::440486::yes::_predadj(A, B)::_predadj(building, tall)
181643000::other::What is red?::181643::pole::_predadj(A, B)::_predadj(_$qVar, red)
130030008::other::What is green?::130030::vase::_predadj(A, B)::_predadj(_$qVar, green)
281123002::yes/no::Are the windows open?::281123::no::_predadj(A, B)::_predadj(windows, open)
478980001::yes/no::Is the helmet red?::478980::yes::_predadj(A, B)::_predadj(helmet, red)
155451002::other::Why is the sky black?::155451::night::_predadj(A, B)::_predadj(sky, black)
441535001::yes/no::Are the windows big?::441535::no::_predadj(A, B)::_predadj(windows, big)
1682001::yes/no::Is the water clear?::1682::yes::_predadj(A, B)::_predadj(water, clear)
335201002::yes/no::Is the sky clear?::335201::no::_predadj(A, B)::_predadj(sky, clear)
328289001::yes/no::Is the sky blue?::328289::yes::_predadj(A, B)::_predadj(sky, blue)
50637002::yes/no::Is the sky clear?::50637::yes::_predadj(A, B)::_predadj(sky, clear)
539445000::yes/no::Is the train red?::539445::yes::_predadj(A, B)::_predadj(train, red)
263346003::yes/no::Is the sky clear?::263346::no::_predadj(A, B)::_predadj(sky, clear)
138601002::yes/no::Is the sky clear?::138601::yes::_predadj(A, B)::_predadj(sky, clear)
78696006::yes/no::Is the road clear?::78696::yes::_predadj(A, B)::_predadj(road, clear)
449031003::yes/no::Is the bus old?::449031::no::_predadj(A, B)::_predadj(bus, old)
388026003::other::What is green?::388026::nothing::_predadj(A, B)::_predadj(_$qVar, green)
557059002::other::What is white?::557059::cauliflower::_predadj(A, B)::_predadj(_$qVar, white)
246951001::yes/no::Is the airplane big?::246951::yes::_predadj(A, B)::_predadj(airplane, big)
306974002::yes/no::Is the floor wooden?::306974::yes::_predadj(A, B)::_predadj(floor, wooden)
391187000::yes/no::Is the bus green?::391187::no::_predadj(A, B)::_predadj(bus, green)
365170004::other::Where is the street light?::365170::behind woman::_predadj(A, B)::_predadj(street, light)
45195005::yes/no::Is the table small?::45195::yes::_predadj(A, B)::_predadj(table, small)
272736004::yes/no::Is the sky clear?::272736::no::_predadj(A, B)::_predadj(sky, clear)
89894025::yes/no::Is the vase clear?::89894::no::_predadj(A, B)::_predadj(vase, clear)
234463000::yes/no::Is the grass tall?::234463::yes::_predadj(A, B)::_predadj(grass, tall)
177802005::yes/no::Are the doors open?::177802::no::_predadj(A, B)::_predadj(door, open)
537053008::yes/no::Is the grass green?::537053::yes::_predadj(A, B)::_predadj(grass, green)
417911000::yes/no::Is the water clear?::417911::no::_predadj(A, B)::_predadj(water, clear)
161635006::yes/no::Is the water clear?::161635::yes::_predadj(A, B)::_predadj(water, clear)
539962000::yes/no::Is the sky clear?::539962::yes::_predadj(A, B)::_predadj(sky, clear)
81469000::yes/no::Are the windows open?::81469::yes::_predadj(A, B)::_predadj(windows, open)
229747013::yes/no::Is the sky blue?::229747::yes::_predadj(A, B)::_predadj(sky, blue)
104893002::other::Why is the train yellow?::104893::yes::_predadj(A, B)::_predadj(train, yellow)
399249008::other::What is red?::399249::sign::_predadj(A, B)::_predadj(_$qVar, red)
153685002::yes/no::Are the chairs wooden?::153685::no::_predadj(A, B)::_predadj(chair, wooden)
82367014::yes/no::Is the clock old?::82367::yes::_predadj(A, B)::_predadj(clock, old)
6074008::other::What is blue?::6074::truck::_predadj(A, B)::_predadj(_$qVar, blue)
577310004::yes/no::Is the sky clear?::577310::no::_predadj(A, B)::_predadj(sky, clear)
331307000::yes/no::Is the window clear?::331307::no::_predadj(A, B)::_predadj(window, clear)
191672001::other::Why is the wave green?::191672::dirty::_predadj(A, B)::_predadj(wave, green)
515682001::yes/no::Is the kite big?::515682::yes::_predadj(A, B)::_predadj(kite, big)
207925000::yes/no::Are the flowers orange?::207925::no::_predadj(A, B)::_predadj(flower, orange)
315491000::other::What is red?::315491::traffic light::_predadj(A, B)::_predadj(_$qVar, red)
122266000::yes/no::Is the grass orange?::122266::no::_predadj(A, B)::_predadj(grass, orange)
292158023::other::What is red?::292158::kite::_predadj(A, B)::_predadj(_$qVar, red)
384402001::yes/no::Is the road clear?::384402::yes::_predadj(A, B)::_predadj(road, clear)
440763001::yes/no::Is the umbrella striped?::440763::no::_predadj(A, B)::_predadj(umbrella, striped)
325690008::yes/no::Is the sky clear?::325690::yes::_predadj(A, B)::_predadj(sky, clear)
41279004::yes/no::Are the windows open?::41279::no::_predadj(A, B)::_predadj(windows, open)
137993000::yes/no::Is the water clear?::137993::no::_predadj(A, B)::_predadj(water, clear)
514396005::yes/no::Are the leaves green?::514396::yes::_predadj(A, B)::_predadj(leaf, green)
403885000::yes/no::Is the sky blue?::403885::no::_predadj(A, B)::_predadj(sky, blue)
632003::yes/no::Are the windows open?::632::no::_predadj(A, B)::_predadj(windows, open)
332582001::other::Why is the sky black?::332582::night::_predadj(A, B)::_predadj(sky, black)
442463001::yes/no::Is the sky clear?::442463::yes::_predadj(A, B)::_predadj(sky, clear)
58057004::yes/no::Are the windows open?::58057::no::_predadj(A, B)::_predadj(windows, open)
273118002::yes/no::Is the grass green?::273118::yes::_predadj(A, B)::_predadj(grass, green)
461007000::yes/no::Is the bench old?::461007::yes::_predadj(A, B)::_predadj(bench, old)
66191000::yes/no::Is the grass green?::66191::yes::_predadj(A, B)::_predadj(grass, green)
30270002::other::What is green?::30270::plants::_predadj(A, B)::_predadj(_$qVar, green)
535135000::yes/no::Is the water clear?::535135::no::_predadj(A, B)::_predadj(water, clear)
51095001::yes/no::Is the cat black?::51095::yes::_predadj(A, B)::_predadj(cat, black)
550162021::yes/no::Is the wall yellow?::550162::no::_predadj(A, B)::_predadj(wall, yellow)
307341000::yes/no::Are the trees green?::307341::yes::_predadj(A, B)::_predadj(tree, green)
16521001::other::What have the women been doing?::16521::drinking::_predadj(A, B)::_predadj(woman, _$qVar)
467297000::yes/no::Is the woman young?::467297::no::_predadj(A, B)::_predadj(woman, young)
165419003::other::What is green?::165419::frisbee::_predadj(A, B)::_predadj(_$qVar, green)
430529000::yes/no::Is the water clear?::430529::yes::_predadj(A, B)::_predadj(water, clear)
339870003::yes/no::Are the lights bright?::339870::yes::_predadj(A, B)::_predadj(light, bright)
285599007::other::What is green?::285599::leaves::_predadj(A, B)::_predadj(_$qVar, green)
25430000::yes/no::Are the trees green?::25430::yes::_predadj(A, B)::_predadj(tree, green)
182541003::yes/no::Is the water green?::182541::yes::_predadj(A, B)::_predadj(water, green)
573778001::yes/no::Is the grass tall?::573778::no::_predadj(A, B)::_predadj(grass, tall)
102421002::yes/no::Is the cat pink?::102421::no::_predadj(A, B)::_predadj(cat, pink)
90040004::yes/no::Is the water clear?::90040::no::_predadj(A, B)::_predadj(water, clear)
462105003::yes/no::Is the sky clear?::462105::no::_predadj(A, B)::_predadj(sky, clear)
268745013::yes/no::Are the doors open?::268745::no::_predadj(A, B)::_predadj(door, open)
240393001::yes/no::Is the dog large?::240393::no::_predadj(A, B)::_predadj(dog, large)
166509002::yes/no::Is the road clear?::166509::yes::_predadj(A, B)::_predadj(road, clear)
499989002::yes/no::Is the sky clear?::499989::no::_predadj(A, B)::_predadj(sky, clear)
8498008::other::What are green?::8498::grass::_predadj(A, B)::_predadj(_$qVar, green)
341469015::other::What is orange?::341469::luggage::_predadj(A, B)::_predadj(_$qVar, orange)
335887009::yes/no::Is the train old?::335887::yes::_predadj(A, B)::_predadj(train, old)
92519001::yes/no::Are the plates plastic?::92519::no::_predadj(A, B)::_predadj(plate, plastic)
382399010::yes/no::Is the sky clear?::382399::no::_predadj(A, B)::_predadj(sky, clear)
333557003::other::What is silver?::333557::refrigerator::_predadj(A, B)::_predadj(_$qVar, silver)
326217002::other::What is red?::326217::peppers::_predadj(A, B)::_predadj(_$qVar, red)
226154022::yes/no::Is the sky clear?::226154::no::_predadj(A, B)::_predadj(sky, clear)
306154000::yes/no::Is the bench old?::306154::yes::_predadj(A, B)::_predadj(bench, old)
201190002::yes/no::Is the dog small?::201190::no::_predadj(A, B)::_predadj(dog, small)
214491000::yes/no::Is the picture clear?::214491::no::_predadj(A, B)::_predadj(picture, clear)
576774012::other::What is white?::576774::cheese::_predadj(A, B)::_predadj(_$qVar, white)
436551002::yes/no::Is the water clear?::436551::no::_predadj(A, B)::_predadj(water, clear)
5513005::yes/no::Is the grass green?::5513::yes::_predadj(A, B)::_predadj(grass, green)
71724000::yes/no::Is the water green?::71724::no::_predadj(A, B)::_predadj(water, green)
514417004::yes/no::Is the sky clear?::514417::yes::_predadj(A, B)::_predadj(sky, clear)
465324001::yes/no::Is the grass tall?::465324::yes::_predadj(A, B)::_predadj(grass, tall)
259793004::yes/no::Are the umbrellas open?::259793::yes::_predadj(A, B)::_predadj(umbrella, open)
394510015::other::What is striped?::394510::shirt::_predadj(A, B)::_predadj(_$qVar, striped)
198811001::yes/no::Is the building green?::198811::yes::_predadj(A, B)::_predadj(building, green)
439173006::yes/no::Is the bus green?::439173::yes::_predadj(A, B)::_predadj(bus, green)
12927013::yes/no::Is the water clear?::12927::yes::_predadj(A, B)::_predadj(water, clear)
19783002::yes/no::Is the sky clear?::19783::yes::_predadj(A, B)::_predadj(sky, clear)
158993003::yes/no::Is the clock old?::158993::yes::_predadj(A, B)::_predadj(clock, old)
449406003::yes/no::Are the plants green?::449406::no::_predadj(A, B)::_predadj(plant, green)
262162008::yes/no::Are the windows big?::262162::yes::_predadj(A, B)::_predadj(windows, big)
78495005::yes/no::Is the picture clear?::78495::yes::_predadj(A, B)::_predadj(picture, clear)
458572004::yes/no::Is the sky clear?::458572::yes::_predadj(A, B)::_predadj(sky, clear)
29838038::yes/no::Is the table wooden?::29838::no::_predadj(A, B)::_predadj(table, wooden)
555972001::yes/no::Are the walls green?::555972::no::_predadj(A, B)::_predadj(wall, green)
494591005::yes/no::Is the water clear?::494591::yes::_predadj(A, B)::_predadj(water, clear)
45478001::yes/no::Is the sky blue?::45478::yes::_predadj(A, B)::_predadj(sky, blue)
49005003::yes/no::Is the sky clear?::49005::yes::_predadj(A, B)::_predadj(sky, clear)
199017000::other::Why is the water brown?::199017::dirty::_predadj(A, B)::_predadj(water, brown)
217183002::yes/no::Are the leaves large?::217183::yes::_predadj(A, B)::_predadj(leaf, large)
279081002::yes/no::Is the light red?::279081::no::_predadj(A, B)::_predadj(light, red)
293789008::yes/no::Is the sky clear?::293789::yes::_predadj(A, B)::_predadj(sky, clear)
563295006::yes/no::Is the sky clear?::563295::no::_predadj(A, B)::_predadj(sky, clear)
122251002::yes/no::Is the water clear?::122251::no::_predadj(A, B)::_predadj(water, clear)
364725013::yes/no::Is the bed orange?::364725::no::_predadj(A, B)::_predadj(bed, orange)
302302002::yes/no::Is the water clear?::302302::no::_predadj(A, B)::_predadj(water, clear)
221272000::yes/no::Are the skies clear?::221272::yes::_predadj(A, B)::_predadj(sky, clear)
42288012::yes/no::Is the sky clear?::42288::no::_predadj(A, B)::_predadj(sky, clear)
563050001::yes/no::Is the water blue?::563050::yes::_predadj(A, B)::_predadj(water, blue)
340398001::yes/no::Is the picture clear?::340398::yes::_predadj(A, B)::_predadj(picture, clear)
